000600f82567d875389b09212b249e08;10FX_EnergyTendril_B
00ecdd5de4fc86e2fd0a7305065f5f62;8FX_Painted_CloudScroll_03_512
03f3f90ad33608a4e62049b8532fd9f8;Flare1_smooth
06d08361558f336f87c8118a455ec994;10FX_Goo_Sphere_01
07d049db40cdc4a8d1570ffadfc2e1c2;8fx_mask_glowgeneric_a_128_brighter
0803c366af5b8dff13aa0a3bc4d2ead4;7FX_EnergyScroll_Fire_A
0d15229cf2298aa9e1fd6df14d1ec5e2;White8x8
0dbf9e9c1662a215c09f8166e85852cf;10GL_Gnoll_Campfire_Campfire_Fire01_Emissive
0dc7c87be63c8f3d1b5e7b7f813396b1;7FX_AlphaMask_Glow_Blue3
0e785c139958e4cc6d7fbb984f81e504;7FX_EnergyScroll_Gray_Bright
11b68146a8964dfbc978a87586edbe35;Electric_Liquid_Blue_A
11cc3b1885eced2033e60a7a82276ba5;10XP_Waterfall_Mod2x_Top
1210b5be89a4b66610325f752dea0d06;slime03_s2
130092560186e1ef2229f7e664327e12;Gray_64
1488a9afd52071d7afd4c162a1c9189f;7FX_Crystal_Geometric_Sharp
148d56fe97552068b7f28a43d1a1083b;Beam_Frost_01_scrolling
15210ed75a5669d29c0698fd9609c1dd;OrbReflect02
15447f9757167c7fa19fb26c143437be;10FX_MaskWave_Horizontal
171682a4bf55ba7ed85bb6e2c4e2a079;12FX_Wispy_Gold
195c469d1eef5de5957e673259983aee;Arcane_Wisps_Water
19d228b37baa2d6c93f69f6a24347e21;7fx_swirl_zandalarigold_desat
1b0c8e7d6bc9b48131f8013d0431ef6a;Organic_Smooth
1ca924d64026d5d3d37d64f28985dcf2;9FX_Flare_B
1d1473d2c6fd06ce9eaac2e072ba798d;10FX_Shards_03
1d18fd793dc62c063155540f88a535d9;8FX_Bit_Glow_01
1f5a9d16a8766a4807cb5ac02a0858e4;Smoke_Puffy_Mask_BlendAdd
21bc1b186ae8d4ed0b2882693ebf5616;Incense_Red_StreakAlpha
21ef368f08426871ecc4af2efab7da3d;Horizonal_Fade
21f7ea405c1d9324bf2d435fd24f3b00;AlphaMask_VerticalGradient
2341b633909f4fe7005e993805136f21;7fx_alphamask_shockwavesoft_256
238135992467682c219c577dd45da399;12ESW_skyscene_voidstorm_cloudInterior01
2415a422c177aa9232ab2f95fb14bed2;9VL_Aspirants_Bird02
